fixture	input_size	nupic_size_v128	tinypng_size	size_ratio	nupic_dssim	tinypng_dssim
n24_sun.png	1478547	1118488	392459	2.8499	0.000000	0.017567
p245_3840x2560.png	4026625	2735500	1990567	1.3742	0.000000	0.011483
p185_2400x1600.png	2017705	1259215	846782	1.4871	0.000000	0.010896
p125_1920x1080.png	1276162	831892	477885	1.7408	0.000000	0.009766
p243_3840x2560.png	5036356	3474685	2234043	1.5553	0.000000	0.009195
p183_2400x1600.png	2427576	1510513	946607	1.5957	0.000000	0.008400
p240_3840x2560.png	5043699	3621017	2083425	1.7380	0.000000	0.007742
p241_3840x2560.png	5098998	3860066	1968595	1.9608	0.000000	0.005888
p242_3840x2560.png	4815304	3371243	2084698	1.6171	0.000000	0.005684
n11_nebula.png	229743	171176	60684	2.8208	0.000000	0.005113
p182_2400x1600.png	2278059	1448123	872395	1.6599	0.000000	0.005048
p246_3840x2560.png	6314238	4464587	2711119	1.6468	0.000000	0.004794
n17_galaxy.png	288638	194060	120520	1.6102	0.000000	0.003261
p274_3840x2560.png	5570778	4117965	2502418	1.6456	0.000000	0.003084
p280_3840x2560.png	6275619	4239486	3193108	1.3277	0.000000	0.002931
p214_2400x1600.png	2764046	2002396	1098013	1.8237	0.000000	0.002845
p171_1920x1080.png	1293788	816901	543270	1.5037	0.000000	0.002160
p235_2400x1600.png	2491039	1481196	959827	1.5432	0.000000	0.002144
p295_3840x2560.png	4912279	3233455	2287400	1.4136	0.000000	0.002076
p115_1024x768.png	618461	399695	204799	1.9516	0.000000	0.001970
p175_1920x1080.png	1486731	917795	523233	1.7541	0.000000	0.001966
p281_3840x2560.png	5408653	3780901	2568607	1.4720	0.000000	0.001942
p263_3840x2560.png	4449016	2787655	1907790	1.4612	0.000000	0.001840
p203_2400x1600.png	2276897	1292871	876934	1.4743	0.000000	0.001673
p143_1920x1080.png	1360105	801322	491175	1.6314	0.000000	0.001472
p83_1024x768.png	516101	310352	187468	1.6555	0.000000	0.001322
p107_1024x768.png	456350	287057	185286	1.5493	0.000000	0.000889
p167_1920x1080.png	1026741	614576	452563	1.3580	0.000000	0.000880
p283_3840x2560.png	3469535	2305125	1384038	1.6655	0.000000	0.000630
n36_comet.png	24539	17594	12835	1.3708	0.000006	0.000632
p438_sm_620x380.png	138025	85063	58444	1.4555	0.000000	0.000412
