fixture	w	h	input_size	tiny_size	tiny_dssim	best_K	best_d	best_p	best_size	best_dssim	size_ratio_vs_tiny	dssim_delta_vs_tiny	pass_0_80x	pass_dssim	pass_both
n24_sun.png	1280	1280	1478547	392459	0.017567	64	0.3	6	189308	0.030563	0.4824	+0.012996	Y	N	N
p245_3840x2560.png	3840	2560	4026625	1990567	0.011483	192	0.0	6	676711	0.011417	0.3400	-0.000066	Y	Y	Y
p185_2400x1600.png	2400	1600	2017705	846782	0.010896	192	0.0	6	344978	0.010626	0.4074	-0.000270	Y	Y	Y
p125_1920x1080.png	1920	1080	1276162	477885	0.009766	64	0.6	6	124847	0.017308	0.2612	+0.007542	Y	N	N
p243_3840x2560.png	3840	2560	5036356	2234043	0.009195	192	0.3	6	1561383	0.007490	0.6989	-0.001705	Y	Y	Y
p183_2400x1600.png	2400	1600	2427576	946607	0.008400	192	0.3	6	698610	0.006906	0.7380	-0.001494	Y	Y	Y
p240_3840x2560.png	3840	2560	5043699	2083425	0.007742	128	0.0	6	841607	0.007639	0.4040	-0.000104	Y	Y	Y
p241_3840x2560.png	3840	2560	5098998	1968595	0.005888	64	0.0	6	734878	0.010179	0.3733	+0.004291	Y	N	N
p242_3840x2560.png	3840	2560	4815304	2084698	0.005684	192	0.3	6	1561496	0.004670	0.7490	-0.001014	Y	Y	Y
n11_nebula.png	626	639	229743	60684	0.005113	192	0.3	6	43044	0.004761	0.7093	-0.000352	Y	Y	Y
p182_2400x1600.png	2400	1600	2278059	872395	0.005048	64	0.0	6	268151	0.010919	0.3074	+0.005871	Y	N	N
p246_3840x2560.png	3840	2560	6314238	2711119	0.004794	64	0.0	6	836879	0.011965	0.3087	+0.007171	Y	N	N
n17_galaxy.png	626	640	288638	120520	0.003261	96	0.3	6	67757	0.002949	0.5622	-0.000313	Y	Y	Y
p274_3840x2560.png	3840	2560	5570778	2502418	0.003084	64	0.0	6	479045	0.026305	0.1914	+0.023220	Y	N	N
p280_3840x2560.png	3840	2560	6275619	3193108	0.002931	64	0.0	6	895703	0.016133	0.2805	+0.013202	Y	N	N
p214_2400x1600.png	2400	1600	2764046	1098013	0.002845	64	0.0	6	266272	0.021894	0.2425	+0.019049	Y	N	N
p171_1920x1080.png	1920	1080	1293788	543270	0.002160	64	0.6	6	200196	0.006645	0.3685	+0.004485	Y	N	N
p235_2400x1600.png	2400	1600	2491039	959827	0.002144	64	0.0	6	240122	0.009312	0.2502	+0.007168	Y	N	N
p295_3840x2560.png	3840	2560	4912279	2287400	0.002076	64	0.0	6	469023	0.009965	0.2050	+0.007889	Y	N	N
p115_1024x768.png	1024	768	618461	204799	0.001970	64	0.3	6	55093	0.009132	0.2690	+0.007162	Y	N	N
p175_1920x1080.png	1920	1080	1486731	523233	0.001966	64	0.6	6	126763	0.009197	0.2423	+0.007231	Y	N	N
p281_3840x2560.png	3840	2560	5408653	2568607	0.001942	192	0.3	6	1870703	0.001913	0.7283	-0.000029	Y	Y	Y
p263_3840x2560.png	3840	2560	4449016	1907790	0.001840	64	0.0	6	685488	0.004605	0.3593	+0.002765	Y	N	N
p203_2400x1600.png	2400	1600	2276897	876934	0.001673	192	0.0	6	627922	0.001625	0.7160	-0.000048	Y	Y	Y
p143_1920x1080.png	1920	1080	1360105	491175	0.001472	64	0.6	6	202263	0.003686	0.4118	+0.002215	Y	N	N
p83_1024x768.png	1024	768	516101	187468	0.001322	64	0.6	6	82077	0.003429	0.4378	+0.002107	Y	N	N
p107_1024x768.png	1024	768	456350	185286	0.000889	64	0.6	6	63257	0.003016	0.3414	+0.002126	Y	N	N
p167_1920x1080.png	1920	1080	1026741	452563	0.000880	64	0.6	6	126949	0.003579	0.2805	+0.002699	Y	N	N
p283_3840x2560.png	3840	2560	3469535	1384038	0.000630	64	0.0	6	1117179	0.000442	0.8072	-0.000189	N	Y	N
n36_comet.png	640	369	24539	12835	0.000632	64	0.3	3	15193	0.000017	1.1837	-0.000615	N	Y	N
p438_sm_620x380.png	620	380	138025	58444	0.000412	64	0.3	6	24043	0.001587	0.4114	+0.001175	Y	N	N
